mode,code,ATR_n,TPk,SLk,J_th,dJ_th,vEMA_th,TMAX,train_wins,train_losses,train_flats,train_trades,train_winrate,train_pf,train_pf_eff,train_exp_bp,train_slices_pass,train_slices_total,forward_wins,forward_losses,forward_flats,forward_trades,forward_winrate,forward_pf,forward_pf_eff,forward_exp_bp,forward_slices_pass,forward_slices_total
coarse,1321.T,1,1.2,1.0,0.6,0.02,0.02,60,5,9,1,15,0.3333333333333333,0.6666666666666666,0.5991207034372502,-0.2674666666666667,0,2,0,4,0,4,0.0,0.0,0.0,-1.0008,0,2
coarse,1321.T,1,1.2,1.0,0.6,0.02,0.05,60,4,8,0,12,0.3333333333333333,0.6,0.5991207034372502,-0.2674666666666667,0,2,0,4,0,4,0.0,0.0,0.0,-1.0008,0,2
coarse,1321.T,1,1.2,1.0,0.6,0.05,0.02,60,3,7,1,11,0.2727272727272727,0.5142857142857142,0.44934052757793763,-0.4008,0,2,0,4,0,4,0.0,0.0,0.0,-1.0008,0,2
coarse,1321.T,1,1.2,1.0,0.6,0.05,0.05,60,2,6,0,8,0.25,0.39999999999999997,0.3994138022915002,-0.4507999999999999,0,2,0,4,0,4,0.0,0.0,0.0,-1.0008,0,2
coarse,1321.T,1,1.2,1.0,1.0,0.02,0.02,60,4,5,0,9,0.4444444444444444,0.96,0.9585931254996004,-0.023022222222222166,0,2,0,1,0,1,0.0,0.0,0.0,-1.0008,0,2
coarse,1321.T,1,1.2,1.0,1.0,0.02,0.05,60,4,5,0,9,0.4444444444444444,0.96,0.9585931254996004,-0.023022222222222166,0,2,0,1,0,1,0.0,0.0,0.0,-1.0008,0,2
coarse,1321.T,1,1.2,1.0,1.0,0.05,0.02,60,2,3,0,5,0.4,0.7999999999999999,0.7988276045830005,-0.12079999999999985,0,2,0,1,0,1,0.0,0.0,0.0,-1.0008,0,2
coarse,1321.T,1,1.2,1.0,1.0,0.05,0.05,60,2,3,0,5,0.4,0.7999999999999999,0.7988276045830005,-0.12079999999999985,0,2,0,1,0,1,0.0,0.0,0.0,-1.0008,0,2
coarse,1321.T,1,1.2,2.0,0.6,0.02,0.02,60,5,9,1,15,0.3333333333333333,0.3333333333333333,0.29968012794882043,-0.9341333333333335,0,2,0,4,0,4,0.0,0.0,0.0,-2.0008,0,2
coarse,1321.T,1,1.2,2.0,0.6,0.02,0.05,60,4,8,0,12,0.3333333333333333,0.3,0.29968012794882043,-0.9341333333333335,0,2,0,4,0,4,0.0,0.0,0.0,-2.0008,0,2
coarse,1321.T,1,1.2,2.0,0.6,0.05,0.02,60,3,7,1,11,0.2727272727272727,0.2571428571428571,0.22476009596161536,-1.1280727272727271,0,2,0,4,0,4,0.0,0.0,0.0,-2.0008,0,2
coarse,1321.T,1,1.2,2.0,0.6,0.05,0.05,60,2,6,0,8,0.25,0.19999999999999998,0.19978675196588033,-1.2007999999999999,0,2,0,4,0,4,0.0,0.0,0.0,-2.0008,0,2
coarse,1321.T,1,1.2,2.0,1.0,0.02,0.02,60,4,5,0,9,0.4444444444444444,0.48,0.4794882047181127,-0.5785777777777779,0,2,0,1,0,1,0.0,0.0,0.0,-2.0008,0,2
coarse,1321.T,1,1.2,2.0,1.0,0.02,0.05,60,4,5,0,9,0.4444444444444444,0.48,0.4794882047181127,-0.5785777777777779,0,2,0,1,0,1,0.0,0.0,0.0,-2.0008,0,2
coarse,1321.T,1,1.2,2.0,1.0,0.05,0.02,60,2,3,0,5,0.4,0.39999999999999997,0.39957350393176067,-0.7207999999999999,0,2,0,1,0,1,0.0,0.0,0.0,-2.0008,0,2
coarse,1321.T,1,1.2,2.0,1.0,0.05,0.05,60,2,3,0,5,0.4,0.39999999999999997,0.39957350393176067,-0.7207999999999999,0,2,0,1,0,1,0.0,0.0,0.0,-2.0008,0,2
coarse,1321.T,1,1.5,1.0,0.6,0.02,0.02,60,5,9,1,15,0.3333333333333333,0.8333333333333334,0.7490007993605117,-0.16746666666666665,0,2,0,4,0,4,0.0,0.0,0.0,-1.0008,0,2
coarse,1321.T,1,1.5,1.0,0.6,0.02,0.05,60,4,8,0,12,0.3333333333333333,0.75,0.7490007993605117,-0.16746666666666665,0,2,0,4,0,4,0.0,0.0,0.0,-1.0008,0,2
coarse,1321.T,1,1.5,1.0,0.6,0.05,0.02,60,3,7,1,11,0.2727272727272727,0.6428571428571429,0.5617505995203838,-0.31898181818181814,0,2,0,4,0,4,0.0,0.0,0.0,-1.0008,0,2
coarse,1321.T,1,1.5,1.0,0.6,0.05,0.05,60,2,6,0,8,0.25,0.5,0.49933386624034115,-0.3757999999999999,0,2,0,4,0,4,0.0,0.0,0.0,-1.0008,0,2
coarse,1321.T,1,1.5,1.0,1.0,0.02,0.02,60,4,5,0,9,0.4444444444444444,1.2,1.1984012789768186,0.11031111111111114,0,2,0,1,0,1,0.0,0.0,0.0,-1.0008,0,2
