code,ATR_n_BACK,TPk_BACK,SLk_BACK,J_th_BACK,dJ_th_BACK,vEMA_th_BACK,winrate_BACK,pf_BACK,trades_BACK,PF_eff_BACK,winrate_FWD,pf_FWD,trades_FWD,ATR_n_FWD,TPk_FWD,SLk_FWD,J_th_FWD,dJ_th_FWD,vEMA_th_FWD,PF_eff_FWD
135A.T,2,1.2,2.0,0.8,0.02,0.02,0.25862068965517243,0.21951219512195122,58,0.20907915903406082,0.23809523809523808,0.1875,42,2,1.2,2.0,0.8,0.02,0.02,0.1873000799680128
1376.T,1,1.2,1.5,0.6,0.02,0.05,0.46153846153846156,0.6857142857142856,13,0.6848918671946391,0.25,0.26666666666666666,20,1,1.2,1.5,0.6,0.02,0.05,0.26634683724235964
1382.T,2,1.2,1.5,0.6,0.02,0.02,0.4,0.7999999999999999,5,0.5326936744847194,0.125,0.1263157894736842,24,2,1.2,1.5,0.6,0.02,0.02,0.11414864453243985
1401.T,3,1.2,1.5,0.6,0.02,0.05,0.6666666666666666,1.5999999999999999,3,1.5980810234541576,0.2826086956521739,0.325,46,3,1.2,1.5,0.6,0.02,0.05,0.31477353492278864
1490.T,1,0.8,1.5,0.6,0.02,0.02,0.0,0.0,0,0.0,0.0,0.0,0,1,0.8,1.5,0.6,0.02,0.02,0.0
1491.T,5,1.2,1.5,0.6,0.02,0.05,0.28,0.3111111111111111,25,0.31073797678275294,0.4166666666666667,0.5714285714285714,84,5,1.2,1.5,0.6,0.02,0.05,0.5707432226621993
1543.T,5,1.2,1.5,0.6,0.05,0.02,0.30392156862745096,0.36470588235294116,102,0.34887684314844297,0.2717391304347826,0.30303030303030304,92,5,1.2,1.5,0.6,0.05,0.02,0.2981494446742832
1675.T,1,1.2,1.5,0.6,0.02,0.02,0.2894736842105263,0.38260869565217387,38,0.3255350232962174,0.3684210526315789,0.4666666666666667,19,1,1.2,1.5,0.6,0.02,0.02,0.4661069651741294
168A.T,1,1.0,1.5,0.6,0.05,0.05,0.5714285714285714,1.3333333333333333,7,0.8877043354655295,0.3333333333333333,0.345679012345679,42,1,1.0,1.5,0.6,0.05,0.05,0.33288912579957347
186A.T,2,1.2,2.0,0.8,0.02,0.02,0.31092436974789917,0.2810126582278481,119,0.27044304229527705,0.29365079365079366,0.25227272727272726,126,2,1.2,2.0,0.8,0.02,0.02,0.24917224121587325
1926.T,1,1.0,1.5,0.6,0.02,0.02,0.23076923076923078,0.2,13,0.19973347547974418,0.2727272727272727,0.3333333333333333,11,1,1.0,1.5,0.6,0.02,0.02,0.24966684434968014
2138.T,2,0.8,1.5,1.0,0.02,0.05,1.0,999.0,4,,0.2777777777777778,0.20512820512820512,18,2,0.8,1.5,1.0,0.02,0.05,0.20481384287354437
215A.T,1,1.2,1.5,1.0,0.05,0.02,0.2,0.20425531914893616,60,0.19976012793176975,0.11009174311926606,0.09896907216494845,109,1,1.2,1.5,1.0,0.05,0.02,0.09885037258479328
219A.T,3,1.2,1.5,0.6,0.05,0.05,0.297029702970297,0.3380281690140845,101,0.337622751433977,0.2920353982300885,0.33,113,3,1.2,1.5,0.6,0.05,0.05,0.3296042110874201
228A.T,1,1.2,2.0,0.6,0.05,0.02,0.38095238095238093,0.39999999999999997,42,0.3688370805523944,0.32432432432432434,0.3272727272727272,37,1,1.2,2.0,0.6,0.05,0.02,0.28769292283086767
2315.T,1,0.8,1.5,0.6,0.02,0.02,1.0,999.0,7,,0.7777777777777778,1.866666666666667,9,1,0.8,1.5,0.6,0.02,0.02,1.863805970149254
2370.T,1,0.8,1.5,0.6,0.02,0.02,1.0,999.0,4,,0.5,0.5333333333333334,12,1,0.8,1.5,0.6,0.02,0.02,0.5325159914712154
276A.T,1,1.0,1.5,0.8,0.05,0.05,0.35714285714285715,0.37037037037037035,28,0.3698768064439707,0.21739130434782608,0.19230769230769232,69,1,1.0,1.5,0.8,0.05,0.05,0.18493840322198532
278A.T,2,1.2,1.5,0.6,0.02,0.02,0.1694915254237288,0.16842105263157894,118,0.1630694921891998,0.2636363636363636,0.2864197530864197,110,2,1.2,1.5,0.6,0.02,0.02,0.2860762325936455
290A.T,1,1.2,1.5,0.6,0.05,0.05,0.3108108108108108,0.3607843137254902,74,0.36035160332789834,0.10975609756097561,0.09999999999999999,82,1,1.2,1.5,0.6,0.05,0.05,0.09851184391155769
2998.T,1,1.2,1.5,0.6,0.05,0.02,0.208955223880597,0.2153846153846154,67,0.2110673049845114,0.20481927710843373,0.2193548387096774,83,1,1.2,1.5,0.6,0.05,0.02,0.20581346514182336
319A.T,1,1.2,1.5,0.6,0.02,0.05,0.28,0.3393939393939394,50,0.31073797678275294,0.21311475409836064,0.22127659574468084,61,1,1.2,1.5,0.6,0.02,0.05,0.21640680525941725
3267.T,1,1.2,2.0,0.8,0.02,0.02,0.4074074074074074,0.44,27,0.4120601759296282,0.2765957446808511,0.22941176470588234,47,1,1.2,2.0,0.8,0.02,0.02,0.22916715666674511
335A.T,2,1.2,1.5,0.6,0.02,0.05,0.21951219512195122,0.23225806451612901,41,0.22473014392324098,0.14705882352941177,0.13793103448275862,34,2,1.2,1.5,0.6,0.02,0.05,0.13776560547018604
338A.T,2,1.2,1.5,1.0,0.05,0.05,0.3153153153153153,0.37333333333333335,111,0.3679791830322074,0.08045977011494253,0.07088607594936709,87,2,1.2,1.5,1.0,0.05,0.05,0.06991604477611942
3446.T,3,1.2,2.0,0.6,0.05,0.02,0.21311475409836064,0.16595744680851063,122,0.16232673597227779,0.35,0.3333333333333333,100,3,1.2,2.0,0.6,0.05,0.02,0.3227324454833451
352A.T,1,1.2,2.0,1.0,0.02,0.02,0.21739130434782608,0.1875,23,0.16648895997156693,0.20454545454545456,0.1636363636363636,44,1,1.2,2.0,1.0,0.02,0.02,0.1541212086593934
3664.T,1,0.8,1.5,1.0,0.02,0.02,1.0,999.0,3,,0.5,0.5333333333333333,2,1,0.8,1.5,1.0,0.02,0.02,0.5325159914712154
3692.T,1,1.2,2.0,0.6,0.05,0.05,0.24489795918367346,0.19999999999999998,98,0.19438711002085657,0.25,0.19999999999999998,96,1,1.2,2.0,0.6,0.05,0.05,0.19978675196588033
3779.T,2,1.2,2.0,1.0,0.02,0.05,0.4117647058823529,0.4421052631578948,34,0.4195521791283487,0.5666666666666667,0.7846153846153846,30,2,1.2,2.0,1.0,0.02,0.05,0.7837787961738382
3843.T,2,1.2,2.0,1.0,0.02,0.02,0.41379310344827586,0.44999999999999996,29,0.4230778276924524,0.23255813953488372,0.2,43,2,1.2,2.0,1.0,0.02,0.02,0.1816243199689821
3856.T,3,1.2,1.5,0.6,0.05,0.05,0.29508196721311475,0.3428571428571428,61,0.33448207467645164,0.13513513513513514,0.125,37,3,1.2,1.5,0.6,0.05,0.05,0.12485007995735609
3935.T,1,1.2,1.5,0.8,0.02,0.02,0.40350877192982454,0.5575757575757575,57,0.5405274049918474,0.2222222222222222,0.23132530120481926,108,1,1.2,1.5,0.8,0.02,0.02,0.2282972890648797
3987.T,2,1.2,1.5,0.6,0.02,0.05,0.25,0.26666666666666666,4,0.26634683724235964,0.15,0.14545454545454545,40,2,1.2,1.5,0.6,0.02,0.05,0.14100714912830806
4088.T,1,1.2,1.5,0.6,0.02,0.05,0.2222222222222222,0.22857142857142856,36,0.2282972890648797,0.205607476635514,0.21204819277108433,107,1,1.2,1.5,0.6,0.02,0.05,0.20681048538818517
4125.T,2,1.2,2.0,0.8,0.05,0.02,0.23076923076923078,0.18,13,0.1798080767692923,0.2,0.15,30,2,1.2,2.0,0.8,0.05,0.02,0.14984006397441024
414A.T,1,1.2,1.5,0.6,0.05,0.05,0.2545454545454545,0.2731707317073171,55,0.27284310156534397,0.17567567567567569,0.17333333333333334,74,1,1.2,1.5,0.6,0.05,0.05,0.1702873221713447
4168.T,1,1.2,1.5,0.6,0.05,0.02,0.2222222222222222,0.22857142857142854,27,0.2282972890648797,0.24528301886792453,0.2736842105263158,53,1,1.2,1.5,0.6,0.05,0.02,0.25968816631130065
4385.T,5,1.2,1.5,1.0,0.02,0.05,0.2857142857142857,0.32,98,0.3196162046908316,0.3220338983050847,0.38,118,5,1.2,1.5,1.0,0.02,0.05,0.37954424307036255
4418.T,5,1.2,2.0,0.8,0.02,0.05,0.6,0.8999999999999999,20,0.8990403838464615,0.3411764705882353,0.31071428571428567,85,5,1.2,2.0,0.8,0.02,0.05,0.31038298966127836
4420.T,1,1.2,2.0,0.6,0.02,0.05,0.5555555555555556,0.75,9,0.7492003198720513,0.35714285714285715,0.3333333333333333,28,1,1.2,2.0,0.6,0.02,0.05,0.3329779199431339
4446.T,1,1.2,1.5,1.0,0.05,0.05,0.2689075630252101,0.30117647058823527,119,0.2938999583363968,0.28865979381443296,0.3246376811594203,97,1,1.2,1.5,1.0,0.05,0.05,0.32424832359939426
4493.T,1,1.2,1.5,0.8,0.05,0.02,0.21794871794871795,0.22666666666666666,78,0.22268342130098923,0.25301204819277107,0.27096774193548384,83,1,1.2,1.5,0.8,0.05,0.02,0.27064275397207516
4571.T,3,1.2,1.5,0.8,0.05,0.05,0.37142857142857144,0.4952380952380952,35,0.47216030238418305,0.14285714285714285,0.13714285714285712,84,3,1.2,1.5,0.8,0.05,0.05,0.13317341862117982
4586.T,1,1.2,1.5,0.6,0.02,0.02,0.625,1.3333333333333333,24,1.3317341862117984,0.4642857142857143,0.6933333333333334,28,1,1.2,1.5,0.6,0.02,0.02,0.6925017768301351
4596.T,1,0.8,1.5,0.6,0.02,0.02,1.0,999.0,1,,1.0,999.0,2,1,0.8,1.5,0.6,0.02,0.02,
4667.T,3,1.2,1.5,0.6,0.05,0.05,0.5333333333333333,0.9142857142857143,15,0.9131891562595188,0.25,0.26666666666666666,12,3,1.2,1.5,0.6,0.05,0.05,0.26634683724235964
5027.T,1,1.0,1.5,0.8,0.05,0.05,0.3157894736842105,0.3076923076923077,19,0.3072822699688371,0.3548387096774194,0.36666666666666664,31,1,1.0,1.5,0.8,0.05,0.05,0.36617803837953095
5038.T,3,1.2,2.0,0.8,0.02,0.02,0.64,1.0666666666666667,25,1.0655293438180284,0.2222222222222222,0.17560975609756097,54,3,1.2,2.0,0.8,0.02,0.02,0.171245787399326
5131.T,1,1.2,1.5,1.0,0.05,0.02,0.375,0.4799999999999999,16,0.47942430703624733,0.15384615384615385,0.15238095238095237,26,1,1.2,1.5,1.0,0.05,0.02,0.14528009304128708
5243.T,2,1.2,2.0,1.0,0.05,0.02,0.3,0.2634146341463414,120,0.256868681098989,0.16101694915254236,0.1163265306122449,118,2,1.2,2.0,1.0,0.05,0.02,0.11502873598035535
5256.T,5,1.2,1.5,1.0,0.02,0.05,0.38095238095238093,0.5333333333333333,21,0.49171723798589473,0.5,0.7999999999999999,12,5,1.2,1.5,1.0,0.02,0.05,0.799040511727079
5595.T,2,1.2,2.0,0.6,0.05,0.02,0.35772357723577236,0.3384615384615384,123,0.3338209020189392,0.23577235772357724,0.18709677419354837,123,2,1.2,2.0,0.6,0.05,0.02,0.18490901511735736
5644.T,1,0.8,1.5,0.6,0.02,0.02,0.0,0.0,0,0.0,0.3333333333333333,0.5333333333333333,3,1,0.8,1.5,0.6,0.02,0.02,0.2662579957356076
5724.T,3,1.2,2.0,1.0,0.02,0.05,0.35294117647058826,0.36,68,0.3269237759441679,0.3,0.26666666666666666,80,3,1.2,2.0,1.0,0.02,0.05,0.256868681098989
5729.T,1,1.2,2.0,0.6,0.02,0.02,0.3333333333333333,0.3,48,0.29968012794882043,0.22727272727272727,0.17647058823529413,66,1,1.2,2.0,0.6,0.02,0.02,0.1762824282051885
5982.T,1,1.0,1.5,0.6,0.02,0.02,0.6666666666666666,1.3333333333333333,3,1.3315565031982939,0.6666666666666666,1.3333333333333333,6,1,1.0,1.5,0.6,0.02,0.02,1.3315565031982939
5998.T,2,1.2,1.5,1.0,0.05,0.02,0.5384615384615384,0.9333333333333333,13,0.9322139303482587,0.37037037037037035,0.5,27,2,1.2,1.5,1.0,0.05,0.02,0.47002383042769347
6022.T,1,0.8,1.5,1.0,0.02,0.02,1.0,999.0,1,,0.2857142857142857,0.21333333333333335,7,1,0.8,1.5,1.0,0.02,0.02,0.2130063965884861
6190.T,1,0.8,1.5,0.6,0.02,0.02,0.0,0.0,0,0.0,0.0,0.0,0,1,0.8,1.5,0.6,0.02,0.02,0.0
6232.T,3,1.2,2.0,0.6,0.05,0.02,0.36065573770491804,0.34285714285714286,122,0.3381006571730282,0.275,0.2302325581395349,120,3,1.2,2.0,0.6,0.05,0.02,0.2273435453404845
6254.T,5,1.2,1.5,1.0,0.05,0.05,0.21176470588235294,0.21492537313432833,85,0.21466760016548392,0.16853932584269662,0.1643835616438356,89,5,1.2,1.5,1.0,0.05,0.05,0.16196767129602951
6269.T,5,1.2,2.0,0.8,0.02,0.02,0.2871287128712871,0.25588235294117645,101,0.24140899195877205,0.20869565217391303,0.15824175824175823,115,5,1.2,2.0,0.8,0.02,0.02,0.15807303452245475
6326.T,5,1.2,1.5,1.0,0.02,0.05,0.37623762376237624,0.4903225806451613,101,0.4819609435814127,0.1188118811881188,0.10909090909090909,101,5,1.2,1.5,1.0,0.02,0.05,0.10773579933398816
6330.T,5,1.2,2.0,1.0,0.02,0.05,0.3853211009174312,0.38181818181818183,109,0.37571836936867054,0.47058823529411764,0.5581395348837209,85,5,1.2,2.0,1.0,0.02,0.05,0.5327646719090141
6378.T,2,1.2,2.0,0.8,0.02,0.02,0.3017241379310345,0.25925925925925924,116,0.25898282662243743,0.21487603305785125,0.16956521739130434,121,2,1.2,2.0,0.8,0.02,0.02,0.16403543845619648
6407.T,1,1.2,1.5,1.0,0.05,0.05,0.3103448275862069,0.3789473684210526,29,0.35956823027718554,0.05,0.04324324324324324,40,1,1.2,1.5,1.0,0.05,0.05,0.04205476377510942
