code,ATR_n,TPk,SLk,J_th,dJ_th,vEMA_th,winrate,pf,trades,PF_eff
1376.T,1,1.2,1.5,0.6,0.02,0.05,0.46153846153846156,0.6857142857142856,13,0.6848918671946391
1382.T,2,1.2,1.5,0.6,0.02,0.02,0.4,0.7999999999999999,5,0.5326936744847194
1401.T,3,1.2,1.5,0.6,0.02,0.05,0.6666666666666666,1.5999999999999999,3,1.5980810234541576
142A.T,2,1.2,1.5,0.8,0.02,0.02,0.5,0.7999999999999999,2,0.799040511727079
145A.T,5,1.2,1.5,0.6,0.02,0.05,0.5294117647058824,0.8999999999999999,17,0.8989205756929639
1490.T,1,0.8,1.5,0.6,0.02,0.02,0.0,0.0,0,0.0
1491.T,5,1.2,1.5,0.6,0.02,0.05,0.28,0.3111111111111111,25,0.31073797678275294
1798.T,1,0.8,1.5,0.6,0.02,0.02,0.0,0.0,0,0.0
186A.T,2,1.2,2.0,0.8,0.02,0.02,0.31092436974789917,0.2810126582278481,119,0.27044304229527705
1980.T,1,1.2,1.5,0.6,0.02,0.05,0.3157894736842105,0.39999999999999997,19,0.36878792848942105
2138.T,2,0.8,1.5,1.0,0.02,0.05,1.0,999.0,4,
2160.T,2,1.2,1.5,0.6,0.02,0.02,0.37755102040816324,0.4933333333333333,98,0.4846639169492118
219A.T,3,1.2,1.5,0.6,0.05,0.05,0.297029702970297,0.3380281690140845,101,0.337622751433977
228A.T,1,1.2,2.0,0.6,0.05,0.02,0.38095238095238093,0.39999999999999997,42,0.3688370805523944
2315.T,1,0.8,1.5,0.6,0.02,0.02,1.0,999.0,7,
2471.T,1,1.0,1.5,1.0,0.02,0.02,0.4,0.5333333333333333,10,0.4438521677327648
2998.T,1,1.2,1.5,0.6,0.05,0.02,0.208955223880597,0.2153846153846154,67,0.2110673049845114
319A.T,1,1.2,1.5,0.6,0.02,0.05,0.28,0.3393939393939394,50,0.31073797678275294
3237.T,1,0.8,1.5,0.6,0.02,0.02,1.0,999.0,1,
3267.T,1,1.2,2.0,0.8,0.02,0.02,0.4074074074074074,0.44,27,0.4120601759296282
3388.T,5,1.2,1.5,0.8,0.02,0.05,0.35294117647058826,0.43636363636363634,17,0.43584027912386136
338A.T,2,1.2,1.5,1.0,0.05,0.05,0.3153153153153153,0.37333333333333335,111,0.3679791830322074
341A.T,5,1.2,1.5,1.0,0.05,0.02,0.29310344827586204,0.33999999999999997,58,0.33130948047220343
3446.T,3,1.2,2.0,0.6,0.05,0.02,0.21311475409836064,0.16595744680851063,122,0.16232673597227779
3489.T,1,1.2,1.5,0.6,0.02,0.05,0.23076923076923078,0.23999999999999996,13,0.23971215351812372
352A.T,1,1.2,2.0,1.0,0.02,0.02,0.21739130434782608,0.1875,23,0.16648895997156693
3692.T,1,1.2,2.0,0.6,0.05,0.05,0.24489795918367346,0.19999999999999998,98,0.19438711002085657
3697.T,3,1.2,2.0,1.0,0.05,0.05,0.3684210526315789,0.35,95,0.34962681594029055
3779.T,2,1.2,2.0,1.0,0.02,0.05,0.4117647058823529,0.4421052631578948,34,0.4195521791283487
3803.T,2,1.2,2.0,1.0,0.02,0.02,0.38095238095238093,0.3692307692307692,21,0.3688370805523944
3843.T,2,1.2,2.0,1.0,0.02,0.02,0.41379310344827586,0.44999999999999996,29,0.4230778276924524
