code,ATR_n_BACK,TPk_BACK,SLk_BACK,J_th_BACK,dJ_th_BACK,vEMA_th_BACK,winrate_BACK,pf_BACK,trades_BACK,PF_eff_BACK,winrate_FWD,pf_FWD,trades_FWD,ATR_n_FWD,TPk_FWD,SLk_FWD,J_th_FWD,dJ_th_FWD,vEMA_th_FWD,PF_eff_FWD
1357.T,3,1.2,2.0,1.0,0.05,0.05,0.28735632183908044,0.25,87,0.24167752253937136,0.19298245614035087,0.14666666666666667,57,3,1.2,2.0,1.0,0.05,0.05,0.14332527858421848
1360.T,1,1.2,2.0,1.0,0.05,0.05,0.30120481927710846,0.2727272727272727,83,0.2583449378869142,0.13953488372093023,0.09729729729729729,43,1,1.2,2.0,1.0,0.05,0.05,0.09719355501042827
137A.T,1,1.2,1.5,0.8,0.02,0.02,0.2222222222222222,0.24615384615384614,18,0.2282972890648797,0.0,0.0,1,1,1.2,1.5,0.8,0.02,0.02,0.0
138A.T,5,0.8,1.5,1.0,0.02,0.05,1.0,999.0,1,,0.07407407407407407,0.048484848484848485,27,5,0.8,1.5,1.0,0.02,0.05,0.04260127931769723
1407.T,3,1.2,2.0,1.0,0.02,0.05,0.2857142857142857,0.24,91,0.2397441023590564,0.49056603773584906,0.6,53,3,1.2,2.0,1.0,0.02,0.05,0.577161727901432
1459.T,3,1.2,2.0,0.8,0.05,0.02,0.4931506849315068,0.6,73,0.5831613300625696,0.23809523809523808,0.2,42,3,1.2,2.0,0.8,0.05,0.02,0.1873000799680128
1466.T,1,0.8,1.5,1.0,0.02,0.02,1.0,999.0,2,,0.0,0.0,3,1,0.8,1.5,1.0,0.02,0.02,0.0
1542.T,5,1.2,2.0,1.0,0.05,0.05,0.4533333333333333,0.5368421052631579,75,0.4970304561102389,0.5306122448979592,0.7090909090909091,49,5,1.2,2.0,1.0,0.05,0.05,0.6775376805799421
1691.T,1,0.8,1.5,0.6,0.02,0.02,0.0,0.0,1,0.0,0.0,0.0,2,1,0.8,1.5,0.6,0.02,0.02,0.0
181A.T,1,0.8,1.5,0.6,0.02,0.02,0.0,0.0,0,0.0,0.0,0.0,0,1,0.8,1.5,0.6,0.02,0.02,0.0
1960.T,1,1.2,2.0,0.6,0.02,0.02,0.5,0.6,2,0.599360255897641,0.0,0.0,1,1,1.2,2.0,0.6,0.02,0.02,0.0
2032.T,3,1.2,1.5,1.0,0.02,0.05,0.2,0.26666666666666666,5,0.19976012793176975,0.0,0.0,0,3,1.2,1.5,1.0,0.02,0.05,0.0
2034.T,2,1.2,2.0,0.6,0.02,0.02,0.4,0.6,5,0.39957350393176067,1.0,999.0,2,2,1.2,2.0,0.6,0.02,0.02,
205A.T,1,1.2,2.0,1.0,0.02,0.05,0.5555555555555556,0.75,9,0.7492003198720513,0.4444444444444444,0.48,18,1,1.2,2.0,1.0,0.02,0.05,0.4794882047181127
215A.T,3,1.2,2.0,0.6,0.02,0.02,0.16541353383458646,0.12,133,0.11879212279052344,0.25,0.20816326530612245,68,3,1.2,2.0,0.6,0.02,0.02,0.19978675196588033
2334.T,5,1.2,1.5,0.6,0.05,0.05,0.2222222222222222,0.23999999999999996,81,0.2282972890648797,0.2727272727272727,0.39999999999999997,22,5,1.2,1.5,0.6,0.05,0.05,0.29964019189765456
276A.T,2,1.2,1.5,0.6,0.05,0.02,0.25316455696202533,0.27586206896551724,79,0.270861190415959,0.27941176470588236,0.31666666666666665,68,2,1.2,1.5,0.6,0.05,0.02,0.3098320351594796
2791.T,1,1.2,1.5,1.0,0.02,0.02,0.5833333333333334,1.12,12,1.1186567164179109,0.16666666666666666,0.21818181818181817,18,1,1.2,1.5,1.0,0.02,0.02,0.1598081023454158
2867.T,1,1.2,1.5,1.0,0.02,0.02,0.5,2.4,6,0.799040511727079,1.0,999.0,1,1,1.2,1.5,1.0,0.02,0.02,
2872.T,1,0.8,1.5,0.6,0.02,0.02,1.0,999.0,3,,0.14285714285714285,0.17777777777777778,7,1,0.8,1.5,0.6,0.02,0.02,0.08875266524520255
2901.T,2,1.2,2.0,1.0,0.05,0.05,0.27586206896551724,0.24,29,0.22832771653243467,0.3333333333333333,0.3,24,2,1.2,2.0,1.0,0.05,0.05,0.29968012794882043
2936.T,2,1.2,2.0,0.8,0.02,0.02,0.3333333333333333,0.3054545454545455,84,0.29968012794882043,0.3673469387755102,0.37241379310344824,49,2,1.2,2.0,0.8,0.02,0.02,0.34801563245669476
2962.T,1,1.2,1.5,1.0,0.02,0.02,0.32941176470588235,0.4,85,0.3925111285676879,0.2857142857142857,0.3692307692307692,21,1,1.2,1.5,1.0,0.02,0.02,0.3196162046908316
3189.T,1,1.0,1.5,1.0,0.05,0.05,0.3548387096774194,0.38596491228070173,31,0.36617803837953095,0.3333333333333333,0.3333333333333333,12,1,1.0,1.5,1.0,0.05,0.05,0.33288912579957347
3350.T,2,1.2,1.5,0.6,0.02,0.05,0.3695652173913043,0.48571428571428565,92,0.46840305859863246,0.3953488372093023,0.523076923076923,43,2,1.2,1.5,0.6,0.02,0.05,0.5224495653600132
3370.T,5,1.2,2.0,0.6,0.02,0.05,0.4482758620689655,0.4875,87,0.48698020791683333,0.10256410256410256,0.06857142857142857,39,5,1.2,2.0,0.6,0.02,0.05,0.0684983149597304
339A.T,2,1.2,1.5,0.6,0.02,0.05,0.3333333333333333,0.4307692307692308,21,0.3995202558635394,0.75,2.4,4,2,1.2,1.5,0.6,0.02,0.05,2.397121535181237
3420.T,5,0.8,1.5,0.6,0.02,0.05,0.5,999.0,2,0.5325159914712154,1.0,999.0,2,5,0.8,1.5,0.6,0.02,0.05,
3536.T,1,0.8,1.5,0.6,0.02,0.02,1.0,999.0,9,,0.8,2.1333333333333333,10,1,0.8,1.5,0.6,0.02,0.02,2.130063965884862
3541.T,1,1.2,1.5,0.6,0.02,0.02,0.45,0.72,20,0.6537604186857918,0.35294117647058826,0.4799999999999999,17,1,1.2,1.5,0.6,0.02,0.02,0.43584027912386136
3608.T,3,1.2,1.5,0.8,0.02,0.02,0.32967032967032966,0.39344262295081966,91,0.3929707434723339,0.2653061224489796,0.28888888888888886,49,3,1.2,1.5,0.8,0.02,0.02,0.28854240701255635
3647.T,1,0.8,1.5,0.6,0.02,0.02,1.0,999.0,1,,0.17647058823529413,0.1142857142857143,17,1,0.8,1.5,0.6,0.02,0.02,0.11411056960097474
365A.T,1,1.0,1.5,0.8,0.02,0.02,0.6,1.1111111111111112,25,0.9986673773987207,0.18181818181818182,0.14814814814814814,11,1,1.0,1.5,0.8,0.02,0.02,0.14795072257758826
