code,ATR_n_BACK,TPk_BACK,SLk_BACK,J_th_BACK,dJ_th_BACK,vEMA_th_BACK,winrate_BACK,pf_BACK,trades_BACK,PF_eff_BACK,winrate_FWD,pf_FWD,trades_FWD,ATR_n_FWD,TPk_FWD,SLk_FWD,J_th_FWD,dJ_th_FWD,vEMA_th_FWD,PF_eff_FWD
1357.T,3,1.2,2.0,1.0,0.05,0.05,0.28735632183908044,0.25,87,0.24167752253937136,0.19298245614035087,0.14666666666666667,57,3,1.2,2.0,1.0,0.05,0.05,0.14332527858421848
1360.T,1,1.2,2.0,1.0,0.05,0.05,0.30120481927710846,0.2727272727272727,83,0.2583449378869142,0.13953488372093023,0.09729729729729729,43,1,1.2,2.0,1.0,0.05,0.05,0.09719355501042827
1366.T,1,1.0,1.5,0.6,0.05,0.02,0.6153846153846154,1.0666666666666667,13,1.0652452025586356,0.2,0.2222222222222222,5,1,1.0,1.5,0.6,0.05,0.02,0.1664445628997868
1459.T,3,1.2,2.0,0.8,0.05,0.02,0.4931506849315068,0.6,73,0.5831613300625696,0.23809523809523808,0.2,42,3,1.2,2.0,0.8,0.05,0.02,0.1873000799680128
1568.T,2,1.2,2.0,0.8,0.05,0.05,0.2627118644067797,0.21627906976744182,118,0.2135651486531824,0.11320754716981132,0.07659574468085105,53,2,1.2,2.0,0.8,0.05,0.05,0.07651407522097546
1570.T,3,1.2,2.0,1.0,0.02,0.02,0.325,0.2925,120,0.288580863950716,0.17391304347826086,0.12857142857142856,69,3,1.2,2.0,1.0,0.02,0.02,0.12618110650476652
1579.T,5,1.2,2.0,0.6,0.05,0.02,0.2764227642276423,0.23448275862068965,123,0.22896908652269432,0.1746031746031746,0.12941176470588234,63,5,1.2,2.0,0.6,0.05,0.02,0.12678774643988558
186A.T,3,1.2,2.0,0.6,0.02,0.05,0.2413793103448276,0.19534883720930232,116,0.19070553596743123,0.25,0.20425531914893616,64,3,1.2,2.0,0.6,0.02,0.05,0.19978675196588033
2134.T,1,0.8,1.5,1.0,0.02,0.02,1.0,999.0,1,,0.3333333333333333,0.26666666666666666,3,1,0.8,1.5,1.0,0.02,0.02,0.2662579957356076
215A.T,3,1.2,2.0,0.6,0.02,0.02,0.16541353383458646,0.12,133,0.11879212279052344,0.25,0.20816326530612245,68,3,1.2,2.0,0.6,0.02,0.02,0.19978675196588033
2181.T,1,1.2,1.5,1.0,0.05,0.05,0.2833333333333333,0.32380952380952377,60,0.31589973719442654,0.23529411764705882,0.24615384615384614,34,1,1.2,1.5,1.0,0.05,0.05,0.24585861899294736
2315.T,1,1.0,1.5,0.8,0.02,0.02,0.875,4.666666666666667,8,4.66044776119403,1.0,999.0,2,1,1.0,1.5,0.8,0.02,0.02,
2502.T,1,1.2,2.0,0.6,0.05,0.05,0.44047619047619047,0.4826086956521739,84,0.4718367971960152,0.22580645161290322,0.1826086956521739,31,1,1.2,2.0,0.6,0.05,0.05,0.17481340797014527
285A.T,3,1.2,2.0,1.0,0.02,0.05,0.5512820512820513,0.80625,78,0.7363568858171019,0.43902439024390244,0.4695652173913043,41,3,1.2,2.0,1.0,0.02,0.05,0.469064548093806
3086.T,2,1.2,2.0,0.8,0.05,0.05,0.47692307692307695,0.5636363636363636,65,0.5464755274360845,0.288135593220339,0.2615384615384615,59,2,1.2,2.0,0.8,0.05,0.05,0.24259819881571185
314A.T,1,1.2,1.5,0.8,0.02,0.02,0.35514018691588783,0.4470588235294118,107,0.4400512963134638,0.4444444444444444,0.64,36,1,1.2,1.5,0.8,0.02,0.02,0.6392324093816631
3350.T,2,1.2,1.5,0.6,0.02,0.05,0.3695652173913043,0.48571428571428565,92,0.46840305859863246,0.3953488372093023,0.523076923076923,43,2,1.2,1.5,0.6,0.02,0.05,0.5224495653600132
3382.T,5,1.2,2.0,1.0,0.05,0.05,0.36428571428571427,0.3438202247191011,140,0.3434536297840415,0.375,0.37241379310344824,48,5,1.2,2.0,1.0,0.05,0.05,0.35961615353858456
3436.T,5,1.2,2.0,0.6,0.05,0.05,0.3826086956521739,0.3771428571428571,115,0.3714345247816367,0.2653061224489796,0.22285714285714286,49,5,1.2,2.0,0.6,0.05,0.05,0.21643564796303708
3647.T,1,0.8,1.5,0.6,0.02,0.02,1.0,999.0,1,,0.17647058823529413,0.1142857142857143,17,1,0.8,1.5,0.6,0.02,0.02,0.11411056960097474
3656.T,1,1.2,2.0,1.0,0.02,0.02,0.43478260869565216,0.5,23,0.461046350690493,0.0,0.0,2,1,1.2,2.0,1.0,0.02,0.02,0.0
3697.T,3,1.2,2.0,0.8,0.05,0.05,0.3055555555555556,0.27123287671232876,108,0.2637185125949621,0.2413793103448276,0.19534883720930232,58,3,1.2,2.0,0.8,0.05,0.05,0.19070553596743123
4005.T,5,1.2,2.0,0.6,0.02,0.02,0.27102803738317754,0.22307692307692306,107,0.22283906950040497,0.4489795918367347,0.4888888888888889,49,5,1.2,2.0,0.6,0.02,0.02,0.4883676159165964
4088.T,3,1.2,2.0,0.6,0.02,0.02,0.45588235294117646,0.5027027027027027,68,0.5021667008872127,0.234375,0.1875,64,3,1.2,2.0,0.6,0.02,0.02,0.1834776293564207
4385.T,5,1.2,1.5,1.0,0.02,0.05,0.42391304347826086,0.5886792452830188,92,0.5879732067425676,0.22033898305084745,0.22608695652173913,59,5,1.2,1.5,1.0,0.02,0.05,0.22581579679243535
4446.T,2,1.2,2.0,0.8,0.05,0.05,0.24390243902439024,0.1956521739130435,123,0.1933420180314971,0.40816326530612246,0.41379310344827586,49,2,1.2,2.0,0.8,0.05,0.05,0.41335190061906274
4503.T,5,1.2,1.5,1.0,0.02,0.05,0.2761904761904762,0.3093333333333333,105,0.3048970373695433,0.1956521739130435,0.19999999999999998,46,5,1.2,1.5,1.0,0.02,0.05,0.19436120555523542
4506.T,3,1.2,1.5,1.0,0.02,0.02,0.1875,0.1846153846153846,128,0.18439396424471052,0.15384615384615385,0.14545454545454545,65,3,1.2,1.5,1.0,0.02,0.02,0.14528009304128708
4564.T,1,0.8,1.5,0.6,0.02,0.02,1.0,999.0,3,,0.0,0.0,0,1,0.8,1.5,0.6,0.02,0.02,0.0
4568.T,5,1.2,2.0,0.6,0.05,0.02,0.2796610169491525,0.2357142857142857,118,0.23269280523084884,0.36507936507936506,0.345,63,5,1.2,2.0,0.6,0.05,0.02,0.3446321471411436
4571.T,1,1.2,1.5,0.6,0.02,0.05,0.28378378378378377,0.3230769230769231,74,0.31660095747676714,0.15384615384615385,0.14545454545454545,13,1,1.2,1.5,0.6,0.02,0.05,0.14528009304128708
